"","V1"
"東",28
"目",28
"伴",27
"各",27
"夫",27
"改",27
"未",27
"環",27
"級",27
"運",27
"電",27
"住",26
"例",26
"堆",26
"境",26
"底",26
"往",26
"新",26
"晚",26
"求",26
"確",26
"總",26
"薪",26
"西",26
"超",26
"金",26
"五",25
"價",25
"光",25
"口",25
"安",25
"怕",25
"白",25
"第",25
"管",25
"紀",25
"者",25
"n",24
"p",24
"假",24
"包",24
"合",24
"名",24
"妳",24
"弟",24
"慮",24
"抱",24
"書",24
"立",24
"解",24
"象",24
"賺",24
"車",24
"須",24
"，",23
"r",23
"主",23
"值",23
"入",23
"努",23
"失",23
"富",23
"忙",23
"況",23
"職",23
"衣",23
"見",23
"走",23
"醫",23
"6",22
"s",22
"t",22
"享",22
"付",22
"化",22
"增",22
"影",22
"持",22
"睡",22
"私",22
"缺",22
"遇",22
"雙",22
"頭",22
"d",21
"Q",21
"叫",21
"強",21
"條",21
"率",21
"福",21
"造",21
"A",20
"X",20
"乾",20
"二",20
"利",20
"否",20
"妹",20
"害",20
"平",20
"幸",20
"忍",20
"放",20
"準",20
"與",20
"齡",20
"D",19
"i",19
"m",19
"係",19
"千",19
"厭",19
"畢",19
"畫",19
"統",19
"補",19
"計",19
"路",19
"遊",19
"靠",19
"餐",19
"8",18
"久",18
"份",18
"便",18
"健",18
"則",18
"卻",18
"四",18
"寶",18
"思",18
"板",18
"爽",18
"累",18
"絕",18
"表",18
"誰",18
"辛",18
"遺",18
"量",18
"階",18
"鬆",18
"P",17
"並",17
"今",17
"命",17
"容",17
"排",17
"水",17
"洗",17
"消",17
"狗",17
"眼",17
"識",17
"讀",17
"C",16
"h",16
"似",16
"內",16
"制",16
"報",16
"屁",16
"惱",16
"斷",16
"族",16
"程",16
"穿",16
"聊",16
"進",16
"遠",16
"適",16
"防",16
"竟",16
"7",15
"信",15
"姻",15
"婦",15
"式",15
"復",15
"怨",15
"怪",15
"款",15
"段",15
"減",15
"源",15
"牲",15
"特",15
"犧",15
"留",15
"義",15
"貴",15
"送",15
"限",15
"飯",15
"w",14
"休",14
"使",14
"備",14
"優",14
"共",14
"務",14
"吵",14
"告",14
"喔",14
"姐",14
"導",14
"幹",14
"恨",14
"承",14
"案",14
"殘",14
"流",14
"版",14
"狀",14
"習",14
"臉",14
"般",14
"若",14
"褲",14
"調",14
"降",14
"離",14
"響",14
"食",14
"b",13
"T",13
"偉",13
"六",13
"即",13
"奇",13
"宗",13
"尤",13
"待",13
"易",13
"標",13
"此",13
"獨",13
"素",13
"網",13
"蛋",13
"門",13
"驗",13
"U",12
"剩",12
"北",12
"升",12
"困",12
"堅",12
"寫",12
"寵",12
"將",12
"尿",12
"居",12
"師",12
"床",12
"建",12
"態",12
"搞",12
"救",12
"極",12
"爺",12
"球",12
"神",12
"稅",12
"脂",12
"裕",12
"製",12
"言",12
"試",12
"跑",12
"追",12
"退",12
"閒",12
"+",11
"<",11
">",11
"E",11
"亂",11
"依",11
"偏",11
"元",11
"充",11
"切",11
"功",11
"助",11
"及",11
"向",11
"呀",11
"哭",11
"嘛",11
"場",11
"姑",11
"府",11
"康",11
"廢",11
"悔",11
"慾",11
"推",11
"換",11
"政",11
"旅",11
"普",11
"漸",11
"視",11
"禮",11
"突",11
"筆",11
"綁",11
"維",11
"續",11
"興",11
"複",11
"謝",11
"護",11
"貓",11
"配",11
"銷",11
"院",11
"隨",11
"險",11
"隻",11
"鞋",11
"飽",11
"馬",11
"g",10
"O",10
"u",10
"倒",10
"八",10
"司",10
"唯",10
"唸",10
"字",10
"形",10
"微",10
"悲",10
"慕",10
"憂",10
"投",10
"拼",10
"擦",10
"擺",10
"棄",10
"注",10
"深",10
"示",10
"穩",10
"節",10
"篇",10
"羨",10
"聚",10
"聞",10
"聯",10
"肪",10
"膠",10
"舉",10
"規",10
"談",10
"謂",10
"財",10
"貧",10
"貸",10
"逼",10
"領",10
"風",10
"9",9
"傷",9
"創",9
"參",9
"周",9
"善",9
"園",9
"坐",9
"壞",9
"奶",9
"懂",9
"戚",9
"捐",9
"既",9
"曾",9
"校",9
"格",9
"檢",9
"熱",9
"爛",9
"約",9
"罵",9
"臺",9
"蠻",9
"設",9
"貼",9
"轉",9
"鼓",9
"f",8
"G",8
"k",8
"七",8
"仇",8
"修",8
"偶",8
"刺",8
"劃",8
"卑",8
"商",8
"啥",8
"喝",8
"士",8
"夜",8
"套",8
"嬰",8
"孝",8
"布",8
"帥",8
"幼",8
"慘",8
"旁",8
"查",8
"權",8
"步",8
"歷",8
"永",8
"泡",8
"浪",8
"清",8
"牌",8
"狂",8
"症",8
"破",8
"租",8
"答",8
"簡",8
"純",8
"繳",8
"翻",8
"腦",8
"致",8
"色",8
"託",8
"議",8
"貌",8
"趣",8
"達",8
"酸",8
"陰",8
"隔",8
"音",8
"順",8
"默",8
"。",7
"c",7
"y",7
"乏",7
"估",7
"具",7
"勞",7
"勵",7
"勸",7
"南",7
"句",7
"右",7
"員",7
"嘴",7
"器",7
"壽",7
"奉",7
"孫",7
"屎",7
"店",7
"廳",7
"戀",7
"戰",7
"抽",7
"拖",7
"拜",7
"掛",7
"探",7
"支",7
"景",7
"林",7
"架",7
"歸",7
"民",7
"沙",7
"漫",7
"爆",7
"爾",7
"玻",7
"疑",7
"皮",7
"空",7
"紅",7
"細",7
"緊",7
"群",7
"聲",7
"肥",7
"肯",7
"良",7
"血",7
"術",7
"衝",7
"裝",7
"記",7
"訴",7
"輪",7
"速",7
"章",7
"頂",7
"鬱",7
"魔",7
"鳥",7
"麻",7
"S",6
"丟",6
"乖",6
"九",6
"介",6
"侶",6
"借",6
"免",6
"區",6
"午",6
"協",6
"呵",6
"咬",6
"圈",6
"均",6
"培",6
"娘",6
"孤",6
"官",6
"展",6
"層",6
"崩",6
"左",6
"廠",6
"彤",6
"德",6
"志",6
"急",6
"憐",6
"指",6
"挑",6
"挺",6
"擁",6
"據",6
"散",6
"昨",6
"杯",6
"染",6
"欲",6
"止",6
"歪",6
"毒",6
"湯",6
"溫",6
"潰",6
"激",6
"炸",6
"熟",6
"牽",6
"獻",6
"甘",6
"疼",6
"疾",6
"硬",6
"科",6
"稚",6
"精",6
"緒",6
"縮",6
"繼",6
"耐",6
"脆",6
"腳",6
"莫",6
"虐",6
"誕",6
"課",6
"證",6
"貨",6
"跳",6
"鍋",6
"零",6
"項",6
"顏",6
"餘",6
"鬼",6
"魯",6
"F",5
"互",5
"佔",5
"佳",5
"倍",5
"催",5
"傭",5
"傻",5
"初",5
"勇",5
"勒",5
"勢",5
"吸",5
"味",5
"哈",5
"嘲",5
"嚮",5
"嚴",5
"固",5
"壁",5
"奢",5
"妥",5
"姊",5
"客",5
"察",5
"尊",5
"屋",5
"山",5
"島",5
"弛",5
"恐",5
"惜",5
"慶",5
"扶",5
"抓",5
"拋",5
"控",5
"撇",5
"撐",5
"某",5
"樓",5
"模",5
"檔",5
"欸",5
"毫",5
"油",5
"派",5
"煮",5
"珍",5
"瘋",5
"癌",5
"盧",5
"省",5
"短",5
"研",5
"碰",5
"稍",5
"積",5
"究",5
"端",5
"索",5
"組",5
"絡",5
"股",5
"背",5
"胎",5
"落",5
"衰",5
"訊",5
"評",5
"語",5
"誤",5
"賠",5
"迫",5
"鄰",5
"闆",5
"隊",5
"頓",5
"顯",5
"驚",5
"麵",5
"齋",5
"H",4
"M",4
"x",4
"ㄧ",4
"亮",4
"停",4
"兄",4
"兵",4
"冒",4
"刻",4
"卡",4
"叔",4
"取",4
"古",4
"咪",4
"哼",4
"喊",4
"嘆",4
"團",4
"執",4
"塊",4
"妙",4
"娶",4
"媒",4
"嫁",4
"它",4
"寧",4
"寬",4
"專",4
"尾",4
"屈",4
"廣",4
"彈",4
"忽",4
"怖",4
"息",4
"戶",4
"扣",4
"拉",4
"招",4
"拯",4
"捷",4
"摸",4
"擋",4
"故",4
"敗",4
"斤",4
"星",4
"智",4
"暗",4
"曉",4
"替",4
"李",4
"材",4
"束",4
"楚",4
"櫃",4
"歌",4
"武",4
"洋",4
"洞",4
"海",4
"淡",4
"淨",4
"潮",4
"火",4
"煞",4
"燒",4
"爭",4
"牙",4
"牛",4
"王",4
"田",4
"畜",4
"異",4
"療",4
"益",4
"盡",4
"盤",4
"碎",4
"粉",4
"紹",4
"終",4
"繁",4
"置",4
"耶",4
"耽",4
"胖",4
"脫",4
"脾",4
"腰",4
"腹",4
"草",4
"蓄",4
"藝",4
"虞",4
"襲",4
"角",4
"觸",4
"諷",4
"賽",4
"贏",4
"躺",4
"輸",4
"辭",4
"述",4
"遙",4
"遭",4
"鄉",4
"酷",4
"鐘",4
"陣",4
"陸",4
"際",4
"障",4
"隱",4
"雞",4
"靜",4
"預",4
"飲",4
"首",4
"騙",4
"鬧",4
"麗",4
"○",3
"B",3
"N",3
"z",3
"丸",3
"亦",3
"仍",3
"仔",3
"佩",3
"侈",3
"供",3
"億",3
"儕",3
"儲",3
"兇",3
"兔",3
"典",3
"冷",3
"凍",3
"凡",3
"列",3
"判",3
"剖",3
"副",3
"吞",3
"哀",3
"哄",3
"噓",3
"噴",3
"嚇",3
"圓",3
"圾",3
"坦",3
"垃",3
"型",3
"堂",3
"塔",3
"墮",3
"奈",3
"姆",3
"娛",3
"嬤",3
"宜",3
"宣",3
"寂",3
"密",3
"尋",3
"屬",3
"市",3
"帝",3
"帳",3
"座",3
"庸",3
"廁",3
"延",3
"弄",3
"彌",3
"彼",3
"律",3
"怒",3
"恰",3
"悶",3
"慣",3
"憑",3
"托",3
"扛",3
"抑",3
"抗",3
"拒",3
"捨",3
"援",3
"擊",3
"擠",3
"敬",3
"料",3
"施",3
"曬",3
"桌",3
"棒",3
"槍",3
"橋",3
"毛",3
"治",3
"洲",3
"漂",3
"潢",3
"澡",3
"灰",3
"災",3
"熊",3
"爬",3
"獄",3
"甲",3
"登",3
"移",3
"稱",3
"童",3
"符",3
"箭",3
"箱",3
"糖",3
"糟",3
"紋",3
"紙",3
"緣",3
"績",3
"繫",3
"罪",3
"胃",3
"胞",3
"臨",3
"舊",3
"舒",3
"英",3
"范",3
"華",3
"菲",3
"葉",3
"街",3
"衛",3
"衡",3
"訪",3
"豪",3
"貢",3
"貪",3
"賭",3
"趁",3
"趕",3
"距",3
"軟",3
"輯",3
"迪",3
"逆",3
"透",3
"逛",3
"遍",3
"避",3
"鐵",3
"附",3
"雜",3
"頗",3
"額",3
"香",3
"髮",3
"黃",3
"黑",3
"齊",3
"""",2
"(",2
")",2
"￣",2
"ˇ",2
"１",2
"I",2
"K",2
"R",2
"v",2
"W",2
"串",2
"乂",2
"乳",2
"予",2
"亞",2
"亡",2
"伍",2
"佛",2
"倆",2
"倖",2
"偷",2
"債",2
"傾",2
"儀",2
"克",2
"兼",2
"刀",2
"刁",2
"劇",2
"劑",2
"勉",2
"勝",2
"卍",2
"占",2
"卦",2
"卵",2
"叛",2
"叮",2
"吉",2
"吟",2
"呆",2
"呻",2
"呼",2
"咒",2
"哥",2
"哲",2
"唱",2
"喪",2
"囉",2
"囑",2
"圍",2
"堪",2
"塞",2
"夢",2
"奔",2
"妨",2
"姓",2
"委",2
"姨",2
"姪",2
"媳",2
"嬸",2
"室",2
"宮",2
"宿",2
"寄",2
"寞",2
"尼",2
"局",2
"幣",2
"引",2
"弱",2
"張",2
"循",2
"徹",2
"忘",2
"恩",2
"恭",2
"悟",2
"您",2
"悸",2
"惑",2
"惹",2
"愉",2
"愧",2
"慈",2
"慧",2
"憨",2
"懇",2
"戳",2
"扮",2
"折",2
"抵",2
"抹",2
"拔",2
"拚",2
"括",2
"拾",2
"按",2
"捧",2
"掃",2
"授",2
"搖",2
"摩",2
"摳",2
"撿",2
"操",2
"擾",2
"攤",2
"春",2
"晶",2
"暖",2
"暴",2
"柯",2
"栽",2
"桃",2
"棟",2
"樹",2
"歐",2
"歧",2
"歹",2
"殖",2
"殺",2
"氏",2
"氛",2
"汗",2
"淚",2
"混",2
"添",2
"渣",2
"渥",2
"湊",2
"滋",2
"溝",2
"溢",2
"滅",2
"滑",2
"滴",2
"滾",2
"漢",2
"漲",2
"漳",2
"潔",2
"烈",2
"營",2
"片",2
"牢",2
"狹",2
"獲",2
"獸",2
"璃",2
"略",2
"疫",2
"瘦",2
"癖",2
"皺",2
"眾",2
"瞧",2
"瞬",2
"石",2
"碌",2
"碗",2
"磨",2
"礙",2
"票",2
"秋",2
"秒",2
"站",2
"竭",2
"竹",2
"笨",2
"筍",2
"範",2
"粗",2
"粹",2
"糕",2
"納",2
"紛",2
"緩",2
"練",2
"罷",2
"羽",2
"翼",2
"耗",2
"耳",2
"聖",2
"聰",2
"肖",2
"肝",2
"胸",2
"脈",2
"腎",2
"膝",2
"臟",2
"舅",2
"茶",2
"荷",2
"莘",2
"蒙",2
"蓋",2
"虛",2
"號",2
"虫",2
"蛇",2
"融",2
"衍",2
"襯",2
"註",2
"誇",2
"警",2
"豬",2
"貝",2
"購",2
"贅",2
"贊",2
"趨",2
"踝",2
"迅",2
"逃",2
"途",2
"逝",2
"週",2
"遲",2
"邏",2
"銘",2
"錄",2
"鏡",2
"陷",2
"隘",2
"集",2
"震",2
"青",2
"韓",2
"飛",2
"飾",2
"餅",2
"骨",2
"髒",2
"魚",2
"鳴",2
"龜",2
"
",1
"ˉ",1
"╭",1
"╮",1
"▽",1
"０",1
"２",1
"３",1
"４",1
"５",1
"６",1
"７",1
"８",1
"９",1
"j",1
"L",1
"Ｍ",1
"q",1
"Y",1
"ε",1
"ρ",1
"ω",1
"丈",1
"丹",1
"乘",1
"云",1
"京",1
"仗",1
"仿",1
"企",1
"伸",1
"佰",1
"侵",1
"侷",1
"促",1
"俠",1
"俯",1
"倡",1
"倦",1
"倫",1
"傅",1
"傑",1
"僅",1
"僻",1
"儂",1
"儘",1
"償",1
"儼",1
"允",1
"冊",1
"冤",1
"冰",1
"凝",1
"凶",1
"刑",1
"刷",1
"劈",1
"劍",1
"募",1
"勺",1
"勻",1
"匙",1
"匪",1
"匹",1
"卯",1
"印",1
"危",1
"厚",1
"厲",1
"史",1
"吐",1
"含",1
"吭",1
"吻",1
"吼",1
"呈",1
"咖",1
"咩",1
"哩",1
"唉",1
"啃",1
"啡",1
"喵",1
"嗅",1
"嗆",1
"嗔",1
"嗨",1
"嘗",1
"嘯",1
"噁",1
"噪",1
"噹",1
"嚏",1
"嚐",1
"囧",1
"圖",1
"土",1
"址",1
"坪",1
"垮",1
"城",1
"埋",1
"域",1
"塑",1
"填",1
"塵",1
"夭",1
"央",1
"夾",1
"奴",1
"妃",1
"妊",1
"妒",1
"妝",1
"姿",1
"娠",1
"媛",1
"嫉",1
"嫌",1
"嫩",1
"嬉",1
"嬌",1
"孟",1
"季",1
"孽",1
"宅",1
"守",1
"宴",1
"寒",1
"寓",1
"尖",1
"屆",1
"屏",1
"岳",1
"峰",1
"崇",1
"崛",1
"巔",1
"川",1
"巴",1
"巾",1
"席",1
"幅",1
"幻",1
"幽",1
"廂",1
"廷",1
"弗",1
"征",1
"忤",1
"忪",1
"恢",1
"恿",1
"悅",1
"悍",1
"悠",1
"患",1
"惟",1
"惡",1
"惺",1
"愁",1
"慨",1
"慌",1
"慚",1
"慫",1
"憤",1
"憧",1
"憬",1
"憾",1
"懶",1
"懼",1
"戴",1
"扯",1
"批",1
"技",1
"抖",1
"抬",1
"拆",1
"拍",1
"拘",1
"挖",1
"挨",1
"挫",1
"振",1
"捩",1
"描",1
"插",1
"揮",1
"損",1
"搗",1
"搜",1
"搬",1
"搶",1
"摔",1
"摧",1
"摺",1
"撂",1
"撒",1
"撕",1
"撞",1
"撩",1
"撫",1
"播",1
"撼",1
"擴",1
"攝",1
"效",1
"啟",1
"敏",1
"敦",1
"敷",1
"斥",1
"斯",1
"旦",1
"昆",1
"昇",1
"昧",1
"暑",1
"暇",1
"暈",1
"暫",1
"曠",1
"曲",1
"木",1
"末",1
"析",1
"枯",1
"柔",1
"柴",1
"桶",1
"梯",1
"椅",1
"植",1
"榜",1
"榨",1
"檻",1
"殊",1
"毀",1
"毆",1
"污",1
"汰",1
"沉",1
"河",1
"沾",1
"泣",1
"洛",1
"津",1
"浮",1
"涼",1
"淘",1
"淫",1
"測",1
"港",1
"渴",1
"游",1
"溺",1
"漏",1
"演",1
"潑",1
"潛",1
"潤",1
"澤",1
"濱",1
"灌",1
"炎",1
"烏",1
"焦",1
"燥",1
"犬",1
"犯",1
"猜",1
"玲",1
"珠",1
"琪",1
"瑋",1
"瑜",1
"瑞",1
"瑪",1
"瓶",1
"申",1
"畸",1
"疊",1
"疲",1
"痘",1
"痴",1
"癈",1
"癒",1
"癱",1
"皆",1
"皇",1
"盆",1
"監",1
"盪",1
"盲",1
"盼",1
"盾",1
"眠",1
"瞞",1
"矛",1
"矩",1
"砍",1
"礎",1
"祖",1
"祝",1
"禁",1
"禍",1
"秘",1
"競",1
"策",1
"簽",1
"簿",1
"籃",1
"籠",1
"籤",1
"糙",1
"系",1
"紗",1
"綜",1
"編",1
"緻",1
"縛",1
"縣",1
"縫",1
"繪",1
"罩",1
"署",1
"羅",1
"耀",1
"耕",1
"肅",1
"肉",1
"肚",1
"肛",1
"肢",1
"肩",1
"脹",1
"腫",1
"膀",1
"膨",1
"膽",1
"臂",1
"臭",1
"舞",1
"船",1
"艱",1
"艾",1
"莉",1
"莓",1
"菁",1
"菊",1
"菸",1
"董",1
"葩",1
"蒂",1
"蔚",1
"蔭",1
"薄",1
"薇",1
"薦",1
"薯",1
"藏",1
"藥",1
"藯",1
"虧",1
"蜉",1
"蜜",1
"蝣",1
"蟲",1
"衫",1
"裁",1
"裂",1
"裘",1
"覆",1
"覽",1
"訓",1
"訥",1
"診",1
"証",1
"詐",1
"詛",1
"詢",1
"詳",1
"誓",1
"誘",1
"誼",1
"諒",1
"諮",1
"諸",1
"諾",1
"謳",1
"谷",1
"豈",1
"豐",1
"賀",1
"賓",1
"賦",1
"贈",1
"跌",1
"跨",1
"跩",1
"踏",1
"踐",1
"踩",1
"蹂",1
"蹟",1
"躁",1
"躇",1
"躊",1
"躍",1
"躪",1
"軼",1
"輔",1
"輾",1
"辨",1
"辯",1
"辱",1
"迎",1
"迴",1
"逍",1
"逐",1
"逗",1
"違",1
"遜",1
"遷",1
"遼",1
"邀",1
"邁",1
"邪",1
"郭",1
"鄭",1
"醉",1
"醒",1
"醜",1
"采",1
"里",1
"野",1
"銀",1
"錶",1
"鎖",1
"鏟",1
"閣",1
"閨",1
"閱",1
"闊",1
"阻",1
"陋",1
"陌",1
"隙",1
"雀",1
"雄",1
"雇",1
"雨",1
"雷",1
"霍",1
"露",1
"頁",1
"頻",1
"顆",1
"颱",1
"飆",1
"餵",1
"饋",1
"馨",1
"駕",1
"駛",1
"騎",1
"騷",1
"驟",1
"骰",1
"鬥",1
"鮮",1
"鴨",1
"麥",1
"鼻",1
"齒",1
